gene	n_clip_tags
AY036118	197
Gm26924	304
Gm20417	95
MALAT1	96
Malat1	140
mt-Nd1	107
mt-Rnr1	67
mt-Rnr2	67
mt-Tf	67
mt-Tl1	67
mt-Tv	67
Hexb	81
Lars2	98
Gm15564	85
Kpna1	187
Cmss1	1030
Filip1l	921
No_Gene	163917
Cdk8	225
Camk1d	141
C920006O11Rik	45
Rn7sk	43
Zc3h7a	106
Jarid2	419
mt-Co1	116
mt-Ta	86
mt-Tn	85
mt-Tw	56
mt-Nd2	116
mt-Tm	67
mt-Tq	80
Gphn	338
mt-Tp	40
mt-Tt	48
mmu-mir-6236	29
Gm26992	395
Tsix	419
Xist	408
Gm24049	27
Vav2	83
Itga9	269
mt-Tc	72
mt-Ty	61
Cacna1i	35
Rny3	25
Myh6	670
Ryr2	6471
Ttn	3503
mt-Td	23
Ccser1	216
Tmtc2	266
Atp2a2	1210
NEAT1_1	26
NEAT1_2	38
Neat1	295
Wsb2	37
Cep85l	352
Pln	191
n-R5-8s1	21
Eif2ak1	44
mt-Nd5	141
mt-Th	32
mt-Tl2	32
mt-Ts2	32
Gm23935	23
Atf2	101
Tnnt2	386
D4Wsu53e	59
Fgfr2	1724
Tpm1	397
Fhl2	915
Hdac4	257
mt-Ti	52
Cntnap5b	81
Zbtb20	2634
Gm26561	1048
Ctnna1	772
Xist_exon1	31
Srsf5	51
Slc8a1	2774
Cd36	634
Armc8	104
Myh7	409
A530058N18Rik	228
Actc1	140
Dpyd	141
Gm24245	20
Gm25732	14
Vwa3a	48
Sorbs2	1253
9330185C12Rik	24
Smtn	92
Myocd	916
Actn2	861
Son	129
Nrxn1	174
Sorbs1	934
Cd44	58
Cacna1c	1124
mt-Cytb	74
mt-Nd6	72
Il31ra	24
Ldb3	588
Sdpr	97
Syt6	14
Ccnl2	63
Dcaf10	44
mmu-mir-6240	16
Gpr125	53
Dcp1b	468
Col4a1	368
Gm15418	59
Cox4i1	33
Gm20388	1663
Zfp791	16
Col6a6	60
mt-Nd4	17
Trdn	1134
Kcnip1	52
Rai1	194
Gm12295	363
Gm8210	20
D830015G02Rik	107
Vwa8	340
Mb	94
Gnb1l	31
Gm24924	12
Ss18	88
Fhod3	2122
Rbm20	1670
Eng	99
Pdlim5	1477
Mbnl1	522
Arfip1	735
Gm12940	76
Sfpq	171
Limch1	543
Eif4g2	97
Gm23262	12
Leng8	33
Picalm	550
Trak1	242
mt-Te	26
Ercc6l	12
XIST_intron	33
Pbdc1	26
Gm14643	65
Gm4986	10
Ppp1r14c	287
BC018473	9
Wdr92	46
Hnrnpu	123
Gfod1	225
Gm22307	9
Mphosph8	42
Gm20732	253
Ddx17	169
Apobec3	31
Morc1	29
Cblb	272
Qk	1101
Cdh2	1248
Svil	560
Ppargc1b	461
Tcf4	1170
Ablim1	1648
NEAT1_3	27
Snta1	147
Mybpc3	157
Prdm2	92
Nfia	1465
Ppargc1a	993
Pcdh7	2363
Rny1	9
Tra2a	115
Pdk4	139
Fus	86
Dmpk	43
4931406P16Rik	171
Nav2	487
Cdh5	126
Myom2	203
Palld	1936
Fli1	401
Sik3	358
Impg1	18
Fgf13	2358
Dmd	3548
Rab21	36
Msrb3	407
Gja1	122
Ctnna3	2724
Nsf	64
Mettl23	41
Srsf2	36
Sptbn1	1074
Pfkfb2	85
Pik3c2b	63
Ebf1	1058
Ivns1abp	202
Gm26551	268
Ube2b	106
Tor1aip2	62
Obscn	332
Ncor1	260
Atp1b1	49
Pbx1	807
Fam222b	62
Akt1	28
Mef2c	330
Lmo7	462
Vcl	263
Col3a1	107
Mir208b	15
Dnah7b	44
Adamts12	135
Ghr	787
Ext1	1069
Efr3a	109
Pacsin2	186
Slc38a2	96
Airn	855
Speg	164
Efna5	448
Map4k3	261
Epas1	203
Zfp521	445
Slc25a46	73
Lrrtm2	58
Tnfaip8	218
Atp5a1	81
Prkg1	1381
Gm22744	9
Gm24452	8
Gm24453	8
Snhg1	13
Gpcpd1	478
Itch	133
Rbm39	262
Gm26883	367
Tshz2	422
Nebl	324
Arhgap21	227
Usp20	25
Baz2b	398
Zak	230
Gm13938	800
Nexn	281
Ythdf3	163
Trim55	325
Pde4dip	860
Mob3c	13
Myl2	103
Setd5	227
Ndufa4	36
Pde3a	798
Cav1	186
Gm15581	207
Dusp11	69
Parva	185
Ano1	54
Klf13	179
Rpl13	12
Snord68	8
Rbpms	819
D330022K07Rik	663
Slc25a4	96
Snrk	255
Ntm	110
Dlat	49
Nptn	224
Herc1	170
Gm25412	8
Kitl	345
Ifngr1	28
Rnf146	46
Man1a	200
Mypn	205
Lrrtm3	782
2310050B05Rik	114
Slc25a3	68
Phlpp1	339
Clasp1	665
Ehbp1	585
Psme4	273
Lrrn2	16
Gm25799	7
Mtmr3	236
Skp1a	25
Suco	51
Rcsd1	198
Snord118	7
Myo18a	162
Ahctf1	69
Adck3	64
Itpkb	383
Bcas3	394
Esrrg	712
Msi2	853
4930405P13Rik	14
Scpep1	15
Tob1	25
Trib2	43
Asxl2	124
Meox2	178
Gm22513	7
Rbm24	119
Gm5665	14
2010111I01Rik	525
Ell2	102
Dip2c	1106
Map4k4	263
Gpc6	1058
Mbnl2	677
Ccser2	121
Arhgef40	26
Gm17428	14
Pdzd2	631
Myo10	256
Fam134b	189
Oxr1	300
Plcl1	374
Fbxo32	138
Asap1	507
7530416G11Rik	9
Tra2b	74
Popdc2	63
Srl	220
Park2	376
Igf2r	465
Tns1	626
Rcan2	989
Dnajb2	19
Ptprm	1730
Myom1	819
Pde10a	163
Gm21747	64
Mib1	175
Gm15485	21
Zeb1	619
Csnk1a1	184
Zfp407	343
Wbp1l	86
Vti1a	227
Ahnak	119
4931422A03Rik	24
C130080G10Rik	76
Sema6d	185
Trpm7	189
Cacnb2	1496
Cd93	62
Cst3	18
Jph2	413
Serinc3	75
Zmynd8	147
Gm20721	90
Gnas	106
Prrc2b	96
Psmd14	86
Ubr3	187
Sp3	112
Slc16a1	55
Tmem56	19
Camk2d	696
Ank2	1116
Ppp3ca	422
Rap1gds1	127
Fubp1	127
Tnni3k	833
Spata5	112
Ssr3	54
Fabp3	47
Zcchc17	33
Sfrs18	97
Col15a1	166
Lpar1	70
Gm12913	19
Snapc3	132
Mllt3	167
Gm11835	7
Arhgap24	104
Mapk10	139
Pkd2	101
Rad9b	18
Gm24139	7
Gtf2ird2	25
Cux1	426
Actb	26
Lcorl	135
Ankrd17	359
Shroom3	320
Hnrnpd	49
Dusp16	146
Kcnd2	1106
Strip2	144
Chchd3	612
Chrm2	521
Ppp1r9a	194
Hnrnpa2b1	69
Mat2a	61
Gm20594	13
Magi1	1125
Gm24601	7
Plekhg2	29
Tnni3	37
Cyth2	20
Csrp3	120
Mef2a	427
Igf1r	322
RP23-32A8.1	119
Agbl1	45
Zfhx3	114
Ankrd10	113
Cdh13	1453
Nrp1	548
Pdlim3	136
4930448N21Rik	321
Large	505
Mylk3	221
Fto	480
Amfr	46
Got2	47
Rbm6	229
Lrrfip2	257
Ctnnb1	113
Tcaim	46
Olfm2	13
Tbx20	280
Zbtb16	618
Etfa	128
C230081A13Rik	312
