allGenes	count
0610007N19Rik	1
0610009B22Rik	1
0610009D07Rik	1
0610011F06Rik	1
0610040J01Rik	1
1010001N08Rik	1
1190005I06Rik	1
1300017J02Rik	1
1500009L16Rik	1
1500012F01Rik	1
1500017E21Rik	1
1600012H06Rik	1
1700001L05Rik	1
1700001O22Rik	1
1700003F12Rik	1
1700007B14Rik	1
1700011H14Rik	1
1700013F07Rik	1
1700014D04Rik	1
1700017B05Rik	1
1700017D01Rik	1
1700019G06Rik	1
1700023E05Rik	1
1700024P03Rik	1
1700028N14Rik	1
1700030C12Rik	1
1700056N10Rik	1
1700064H15Rik	1
1700069L16Rik	1
1700086D15Rik	1
1700094D03Rik	1
1700095B10Rik	1
1700112D23Rik	1
1700112J05Rik	1
1700113A16Rik	1
1700125H03Rik	1
1810011H11Rik	1
1810019J16Rik	1
1810022K09Rik	1
1810041L15Rik	1
1810049J17Rik	1
2010002M12Rik	1
2010007H06Rik	1
2010012O05Rik	1
2010109A12Rik	1
2210017G18Rik	1
2210404O09Rik	1
2310001K24Rik	1
2310002F09Rik	1
2310007L24Rik	1
2310014L17Rik	1
2310058D17Rik	1
2310065F04Rik	1
2600006K01Rik	1
2610002J02Rik	1
2610002M06Rik	1
2610204G07Rik	1
2610305D13Rik	1
2700073G19Rik	1
2700089E24Rik	1
2700099C18Rik	1
2810008D09Rik	1
2810408A11Rik	1
2810417H13Rik	1
2900089D17Rik	1
3110040N11Rik	1
3830406C13Rik	1
42799	1
4632428C04Rik	1
4632433K11Rik	1
4921507P07Rik	1
4921511H03Rik	1
4921514A10Rik	1
4921518J05Rik	1
4922501L14Rik	1
4930403O15Rik	1
4930405D11Rik	1
4930415F15Rik	1
4930415O20Rik	1
4930433N12Rik	1
4930438E09Rik	1
4930445B16Rik	1
4930455H04Rik	1
4930473A02Rik	1
4930473D10Rik	1
4930480K23Rik	1
4930505N22Rik	1
4930533B01Rik	1
4930533K18Rik	1
4930544I03Rik	1
4930551L18Rik	1
4930551O13Rik	1
4930554G24Rik	1
4930556J24Rik	1
4930562F07Rik	1
4930578G10Rik	1
4930578M01Rik	1
4930593A02Rik	1
4931403G20Rik	1
4931414P19Rik	1
4931440J10Rik	1
4932427H20Rik	1
4932441J04Rik	1
4932442E05Rik	1
4933402D24Rik	1
4933423P22Rik	1
4933424L21Rik	1
4933425H06Rik	1
4933426D04Rik	1
4933428C19Rik	1
4933431K23Rik	1
4933437N03Rik	1
4933440J02Rik	1
5033417F24Rik	1
5330434G04Rik	1
5330439A09Rik	1
5430416N02Rik	1
5430416O09Rik	1
5430427O19Rik	1
5430435G22Rik	1
5730420D15Rik	1
5730437C11Rik	1
5730455P16Rik	1
5830416P10Rik	1
5830428H23Rik	1
5830432E09Rik	1
6030408B16Rik	1
6030442K20Rik	1
6330549D23Rik	1
6430571L13Rik	1
6430590A07Rik	1
6720427I07Rik	1
7530416G11Rik	1
8430419L09Rik	1
8430427H17Rik	1
9030407P20Rik	1
9030617O03Rik	1
9030624G23Rik	1
9130008F23Rik	1
9130017K11Rik	1
9130023H24Rik	1
9230110C19Rik	1
9230112E08Rik	1
9330111N05Rik	1
9330154K18Rik	1
9330198N18Rik	1
9430016H08Rik	1
9430069I07Rik	1
9530003J23Rik	1
9530027J09Rik	1
9530036O11Rik	1
9530059O14Rik	1
9530077C05Rik	1
9630014M24Rik	1
9630033F20Rik	1
A130014A01Rik	1
A230060F14Rik	1
A230083G16Rik	1
A230103J11Rik	1
A330008L17Rik	1
A330021E22Rik	1
A430093F15Rik	1
A430110L20Rik	1
A530016L24Rik	1
A530032D15Rik	1
A630033H20Rik	1
A630072L19Rik	1
A730056A06Rik	1
A830019P07Rik	1
A830035O19Rik	1
A930006I01Rik	1
A930015D03Rik	1
A930016O22Rik	1
A930018P22Rik	1
A930039A15Rik	1
AA474408	1
AA645442	1
Aaas	1
Aarsd1	1
Aasdhppt	1
Aatk	1
AB041806	1
AB124611	1
Abca14	1
Abca16	1
Abcd4	1
Abcf1	1
Abcg3	1
Abhd14b	1
AC119853.1	1
AC158997.1	1
AC163993.1	1
Acad10	1
Acad8	1
Acads	1
Acap3	1
Acat2	1
Acat3	1
Ackr2	1
Acmsd	1
Aco1	1
Acot1	1
Acot11	1
Acot12	1
Acot2	1
Acsf3	1
Actr5	1
Acyp1	1
Ada	1
Adam4	1
Adamts1	1
Adamts14	1
Adamts15	1
Adamts16	1
Adamts18	1
Adamts20	1
Adap2	1
Adat1	1
Adat3	1
Adck5	1
Adcy10	1
Adcy2	1
Adcy4	1
Adcy8	1
Adh5	1
Adora2a	1
Adora3	1
Adprhl2	1
Adprm	1
Adrbk1	1
Adrm1	1
Aen	1
Agbl5	1
Agfg2	1
Ago1	1
Agtrap	1
Ahr	1
AI662270	1
AI837181	1
AI838599	1
Aip	1
AK129341	1
Ak2	1
Ak4	1
Akr1a1	1
Akr1c14	1
Akr1c19	1
Akr1e1	1
Alad	1
Alas2	1
Aldh18a1	1
Aldh1a1	1
Aldh1l2	1
Aldh2	1
Aldh3b1	1
Aldh8a1	1
Alg10b	1
Alk	1
Alkbh6	1
Alox15	1
Alox5	1
Alpk1	1
Als2cr11	1
Amelx	1
Amer1	1
Amot	1
Amz1	1
Angptl4	1
Angptl7	1
Ankdd1b	1
Ankrd13d	1
Ankrd24	1
Ankrd39	1
Ankrd9	1
Ano2	1
Anpep	1
Anxa11	1
Anxa7	1
Anxa9	1
Ap1g2	1
Ap2s1	1
Ap5m1	1
Apip	1
Apoa1bp	1
Apoc2	1
Apoc4	1
Apom	1
Aqp11	1
Aqp4	1
Aqp7	1
Arf6	1
Arhgap11a	1
Arhgdib	1
Arhgef16	1
Arhgef33	1
Arl1	1
Arl2	1
Arl6ip1	1
Armc6	1
Armcx2	1
Arpc1a	1
Arpc3	1
Arpp21	1
Arsj	1
Arvcf	1
As3mt	1
Asap3	1
Asb4	1
Asb5	1
Asb8	1
Ascc2	1
Asnsd1	1
Aspa	1
Atad2	1
Atg16l2	1
Atg2a	1
Atg9a	1
Atic	1
Atn1	1
Atp10b	1
Atp13a1	1
Atp2a3	1
Atp2b2	1
Atp5g1	1
Atp5k	1
Atp5sl	1
Atp6ap1	1
Atxn1l	1
Atxn2l	1
Atxn7l2	1
Atxn7l3	1
AU019823	1
AU019990	1
AU022252	1
AU040972	1
AU041133	1
Aurka	1
AW011738	1
Axdnd1	1
Azi1	1
B130046B21Rik	1
B230118H07Rik	1
B230323A14Rik	1
B230325K18Rik	1
B2m	1
B3galnt1	1
B3gnt1	1
B3gnt5	1
B430010I23Rik	1
B430319H21Rik	1
B4galnt3	1
B4galt2	1
B930095G15Rik	1
B9d1	1
Bag5	1
Bahcc1	1
Bahd1	1
Banf1	1
Banf2	1
Bard1	1
Barx2	1
Bax	1
BB365896	1
Bbc3	1
Bbip1	1
Bbs12	1
Bbs5	1
BC005561	1
BC005624	1
BC005764	1
BC017158	1
BC026590	1
BC027231	1
BC029214	1
BC042782	1
BC053749	1
BC055111	1
BC055324	1
BC067074	1
Bcam	1
Bcap29	1
Bccip	1
Bckdha	1
Bcl7b	1
Bcl7c	1
Bcl9	1
Bcl9l	1
Bcorl1	1
Bcs1l	1
Bend3	1
Bend5	1
Bet1	1
Bhlha15	1
Bhlhb9	1
Bhlhe41	1
Bicd1	1
Birc3	1
Blnk	1
Bloc1s5	1
Blzf1	1
Bmi1	1
Bmp8a	1
Bmp8b	1
Bmpr1b	1
Bphl	1
Bpnt1	1
Brca1	1
Brdt	1
Brf2	1
Brpf1	1
Brpf3	1
Brsk2	1
Bsn	1
Btbd11	1
Btbd2	1
Btbd6	1
Btbd8	1
Btf3l4	1
Btg2	1
Btn1a1	1
Bud31	1
C030014I23Rik	1
C130026I21Rik	1
C130060K24Rik	1
C130074G19Rik	1
C1d	1
C1qa	1
C1qb	1
C2	1
C2cd2l	1
C330013J21Rik	1
C330018D20Rik	1
C330027C09Rik	1
C430014B12Rik	1
C77080	1
C87436	1
C920006O11Rik	1
Cables2	1
Cabyr	1
Cacna1b	1
Cacna1e	1
Cacng7	1
Cacybp	1
Calcoco1	1
Calr	1
Calr3	1
Camk2n1	1
Camk2n2	1
Caml	1
Cant1	1
Capg	1
Capn12	1
Capn3	1
Capns1	1
Caprin2	1
Car1	1
Car10	1
Car2	1
Car4	1
Card10	1
Card11	1
Carhsp1	1
Casc1	1
Casc4	1
Casp8ap2	1
Catsper2	1
Catsper3	1
Cav3	1
Cbx3	1
Cby1	1
Ccbl1	1
Ccdc101	1
Ccdc107	1
Ccdc11	1
Ccdc114	1
Ccdc122	1
Ccdc136	1
Ccdc142	1
Ccdc148	1
Ccdc154	1
Ccdc170	1
Ccdc173	1
Ccdc18	1
Ccdc23	1
Ccdc28b	1
Ccdc34	1
Ccdc36	1
Ccdc38	1
Ccdc53	1
Ccdc68	1
Ccdc74a	1
Ccdc79	1
Ccdc86	1
Ccdc9	1
Ccdc97	1
Cchcr1	1
Cckbr	1
Ccnc	1
Ccne2	1
Ccnf	1
Ccng2	1
Ccnj	1
Ccp110	1
Ccr10	1
Ccr9	1
Ccrl2	1
Cct6a	1
Cd109	1
Cd163	1
Cd200r3	1
Cd28	1
Cd300c	1
Cd300ld	1
Cd302	1
Cd40	1
Cd84	1
Cda	1
Cdc25a	1
Cdc25b	1
Cdc42ep2	1
Cdc42ep5	1
Cdc6	1
Cdca4	1
Cdh12	1
Cdh18	1
Cdh19	1
Cdh22	1
Cdh4	1
Cdh6	1
Cdhr2	1
Cdk10	1
Cdk11b	1
Cdk15	1
Cdk2	1
Cdk2ap1	1
Cdk4	1
Cdk9	1
Cdkl4	1
Cdkn1b	1
Cdkn1c	1
Cdkn2aipnl	1
Cdpf1	1
Cdr2l	1
Ceacam18	1
Celf4	1
Celsr3	1
Cenpb	1
Cenpe	1
Cenpj	1
Cenpk	1
Cenpq	1
Cep170b	1
Cep63	1
Cep72	1
Cep76	1
Cep97	1
Cercam	1
Cers2	1
Ces1e	1
Ces2h	1
Cfh	1
Cfl1	1
Chac2	1
Chad	1
Chat	1
Chchd2	1
Chchd4	1
Chchd7	1
Chd1l	1
Chek1	1
Chek2	1
Cherp	1
Chmp2a	1
Chmp5	1
Chmp6	1
Chpf2	1
Chrac1	1
Chrna7	1
Chst12	1
Chst3	1
Chst7	1
Cidea	1
Cisd1	1
Ciz1	1
Ckap2	1
Clca1	1
Clcc1	1
Clcn2	1
Clcn6	1
Clec14a	1
Clec1b	1
Clec9a	1
Clic3	1
Clk2	1
Clpp	1
Clptm1	1
Clu	1
Cmbl	1
Cmklr1	1
Cmtm1	1
Cmtm2a	1
Cmtm5	1
Cmtr2	1
Cnga3	1
Cngb3	1
Cnih1	1
Cnn2	1
Cnnm4	1
Cnot11	1
Cnppd1	1
Cnpy4	1
Cntn1	1
Cntn4	1
Cntn6	1
Cntnap1	1
Cntnap3	1
Cntnap5a	1
Cntrob	1
Coa6	1
Cog1	1
Cog4	1
Cog8	1
Col10a1	1
Col11a2	1
Col12a1	1
Col24a1	1
Col4a4	1
Col6a2	1
Commd3	1
Cops5	1
Copz2	1
Coq3	1
Coq4	1
Coq6	1
Coq7	1
Cotl1	1
Cox15	1
Cox18	1
Cox19	1
Cox6a2	1
Cox7a1	1
Cox7b2	1
Cox8a	1
Cox8b	1
Cpne9	1
Cpt2	1
Creld1	1
Crispld1	1
Crlf1	1
Crmp1	1
Crocc	1
Cryba4	1
Cryzl1	1
Csad	1
Csdc2	1
Csk	1
Csmd3	1
Cspg5	1
Csrnp2	1
Ctbs	1
Ctcfl	1
Ctgf	1
Ctla4	1
Ctnna2	1
Ctnnd2	1
Ctns	1
Ctr9	1
Ctrl	1
Ctsa	1
Ctse	1
Ctsf	1
Ctsz	1
Ctu2	1
Cubn	1
Cuedc2	1
Cul7	1
Cutc	1
Cwc15	1
Cyb5	1
Cyb561a3	1
Cyb561d1	1
Cyb5d1	1
Cyb5r3	1
Cycs	1
Cyp2c39	1
Cyp2c55	1
Cyp2c65	1
Cyp2c69	1
Cyp2d26	1
Cyp2j9	1
Cyp2r1	1
Cyp46a1	1
Cyp51	1
Cyr61	1
Cysltr1	1
D17Wsu104e	1
D2hgdh	1
D330050G23Rik	1
D930048N14Rik	1
Dad1	1
Daglb	1
Dak	1
Dbh	1
Dbi	1
Dbn1	1
Dbnl	1
Dcaf15	1
Dclre1a	1
Dclre1b	1
Dct	1
Dctd	1
Dctn5	1
Dda1	1
Ddah2	1
Ddc	1
Ddit3	1
Ddrgk1	1
Ddt	1
Ddx1	1
Ddx21	1
Ddx28	1
Ddx31	1
Ddx39	1
Ddx58	1
Dedd	1
Def8	1
Degs1	1
Degs2	1
Dennd1c	1
Dennd2d	1
Dennd4b	1
Depdc1a	1
Dera	1
Derl2	1
Dgkk	1
Dhcr24	1
Dhcr7	1
Dhfr	1
Dhrs7b	1
Dhrs7c	1
Dhtkd1	1
Dhx38	1
Dhx8	1
Dis3l	1
Dkk3	1
Dleu2	1
Dlgap1	1
Dlgap2	1
Dll4	1
Dlx1os	1
Dmrta1	1
Dmwd	1
Dnah2	1
Dnah8	1
Dnah9	1
Dnaic1	1
Dnajb2	1
Dnajc2	1
Dnase1	1
Dnase1l2	1
Dnase2a	1
Dnm1	1
Dnpep	1
Doc2b	1
Dok2	1
Dok3	1
Dok4	1
Dok7	1
Dolpp1	1
Dpep1	1
Dpep2	1
Dph1	1
Dpp4	1
Dpp6	1
Dpy19l3	1
Dpy30	1
Dpys	1
Dr1	1
Dsc2	1
Dsc3	1
Dscaml1	1
Dse	1
Dtd1	1
Dtwd1	1
Dtx4	1
Dus1l	1
Dus3l	1
Dusp19	1
Dusp7	1
Dut	1
Dync1i1	1
Dynll1	1
Dynlt3	1
Dyrk1b	1
E130006D01Rik	1
E130309F12Rik	1
E230015J15Rik	1
E2f4	1
E2f7	1
E4f1	1
Ears2	1
Echs1	1
Ecm1	1
Ect2	1
Ect2l	1
Eda2r	1
Edem2	1
Edf1	1
Edil3	1
Edn1	1
Ednra	1
Eef1a1	1
Efcab4b	1
Efcab8	1
Efhb	1
Efhc2	1
Efhd1	1
Efna1	1
Efna4	1
Efnb1	1
Efs	1
Egfl6	1
EGOT	1
Egr1	1
Ehhadh	1
Eid1	1
Eif1	1
Eif1ax	1
Eif2ak2	1
Eif2b5	1
Eif3f	1
Eif3i	1
Eif4a1	1
Eif4a3	1
Eif4ebp3	1
Eif5a	1
Eif6	1
Elac1	1
Elf4	1
Elfn2	1
Elovl7	1
Elp5	1
Emc3	1
Emc4	1
Emc9	1
Enc1	1
Endod1	1
Endov	1
Engase	1
Eno3	1
Enpep	1
Enpp4	1
Entpd6	1
Entpd7	1
Ephb3	1
Eps8l2	1
Eqtn	1
Erbb2	1
Ercc1	1
Ercc2	1
Ercc4	1
Ercc6l	1
Erich1	1
Ero1lb	1
Erp27	1
Esd	1
Esm1	1
Espl1	1
Esyt1	1
Etv3	1
Exoc3l2	1
Exoc7	1
Exog	1
Exosc1	1
Exosc2	1
Exosc7	1
Exosc8	1
Ezh1	1
F2	1
F420014N23Rik	1
F5	1
F8	1
Fabp3-ps1	1
Fah	1
Fam101a	1
Fam105a	1
Fam110a	1
Fam111a	1
Fam124b	1
Fam155a	1
Fam160a2	1
Fam160b1	1
Fam161b	1
Fam163a	1
Fam173b	1
Fam175a	1
Fam178b	1
Fam184b	1
Fam19a1	1
Fam19a2	1
Fam210b	1
Fam217b	1
Fam43b	1
Fam46a	1
Fam46c	1
Fam50a	1
Fam57a	1
Fam57b	1
Fam69a	1
Fam69b	1
Fam78a	1
Fam81a	1
Fam84b	1
Fam96a	1
Fam98b	1
Fan1	1
Fance	1
Farsa	1
Fastkd3	1
Fbp2	1
Fbrs	1
Fbxl19	1
Fbxo10	1
Fbxo15	1
Fbxo17	1
Fbxo21	1
Fbxo25	1
Fbxo30	1
Fbxo33	1
Fbxo34	1
Fbxw10	1
Fdxr	1
Fer1l6	1
Fgf16	1
Fgf18	1
Fgf2	1
Fhl4	1
Fhod1	1
Fkbp14	1
Fkbp1b	1
Fkrp	1
Flad1	1
Flii	1
Flrt1	1
Flrt3	1
Flt4	1
Fmnl1	1
Fndc9	1
Foxm1	1
Foxp4	1
Foxred1	1
Foxred2	1
Fras1	1
Frg1	1
Frk	1
Frmpd4	1
Fsd1	1
Fshr	1
Ftsj1	1
Ftsj3	1
Fuca1	1
Fuk	1
Furin	1
Fut10	1
Fxn	1
Fxyd3	1
Fxyd7	1
Fzd3	1
