ensembl_gene_id	mgi_symbol	gene_biotype
ENSMUSG00000051951	Xkr4	protein_coding
ENSMUSG00000025900	Rp1	protein_coding
ENSMUSG00000025902	Sox17	protein_coding
ENSMUSG00000033845	Mrpl15	protein_coding
ENSMUSG00000025903	Lypla1	protein_coding
ENSMUSG00000104217	Gm37988	protein_coding
ENSMUSG00000033813	Tcea1	protein_coding
ENSMUSG00000002459	Rgs20	protein_coding
ENSMUSG00000033793	Atp6v1h	protein_coding
ENSMUSG00000025905	Oprk1	protein_coding
ENSMUSG00000033774	Npbwr1	protein_coding
ENSMUSG00000025907	Rb1cc1	protein_coding
ENSMUSG00000033740	St18	protein_coding
ENSMUSG00000051285	Pcmtd1	protein_coding
ENSMUSG00000025909	Sntg1	protein_coding
ENSMUSG00000061024	Rrs1	protein_coding
ENSMUSG00000025911	Adhfe1	protein_coding
ENSMUSG00000025912	Mybl1	protein_coding
ENSMUSG00000045210	Vcpip1	protein_coding
ENSMUSG00000025915	Sgk3	protein_coding
ENSMUSG00000046101	Mcmdc2	protein_coding
ENSMUSG00000099032	Tcf24	protein_coding
ENSMUSG00000025916	Ppp1r42	protein_coding
ENSMUSG00000025917	Cops5	protein_coding
ENSMUSG00000056763	Cspp1	protein_coding
ENSMUSG00000067851	Arfgef1	protein_coding
ENSMUSG00000042501	Cpa6	protein_coding
ENSMUSG00000048960	Prex2	protein_coding
ENSMUSG00000057715	A830018L16Rik	protein_coding
ENSMUSG00000016918	Sulf1	protein_coding
ENSMUSG00000025938	Slco5a1	protein_coding
ENSMUSG00000042414	Prdm14	protein_coding
ENSMUSG00000005886	Ncoa2	protein_coding
ENSMUSG00000025935	Tram1	protein_coding
ENSMUSG00000025937	Lactb2	protein_coding
ENSMUSG00000067813	Xkr9	protein_coding
ENSMUSG00000025932	Eya1	protein_coding
ENSMUSG00000025930	Msc	protein_coding
ENSMUSG00000032769	Trpa1	protein_coding
ENSMUSG00000092083	Kcnb2	protein_coding
ENSMUSG00000025925	Terf1	protein_coding
ENSMUSG00000032719	Sbspon	protein_coding
ENSMUSG00000067795	4930444P10Rik	protein_coding
ENSMUSG00000043716	Rpl7	protein_coding
ENSMUSG00000025921	Rdh10	protein_coding
ENSMUSG00000025920	Stau2	protein_coding
ENSMUSG00000025939	Ube2w	protein_coding
ENSMUSG00000025940	Tmem70	protein_coding
ENSMUSG00000025779	Ly96	protein_coding
ENSMUSG00000042686	Jph1	protein_coding
ENSMUSG00000025777	Gdap1	protein_coding
ENSMUSG00000067780	Pi15	protein_coding
ENSMUSG00000025776	Crispld1	protein_coding
ENSMUSG00000025774	Crisp4	protein_coding
ENSMUSG00000073735	Defb18	protein_coding
ENSMUSG00000067773	Defb41	protein_coding
ENSMUSG00000042596	Tfap2d	protein_coding
ENSMUSG00000025927	Tfap2b	protein_coding
ENSMUSG00000043760	Pkhd1	protein_coding
ENSMUSG00000025929	Il17a	protein_coding
ENSMUSG00000041872	Il17f	protein_coding
ENSMUSG00000041859	Mcm3	protein_coding
ENSMUSG00000025931	Paqr8	protein_coding
ENSMUSG00000041809	Efhc1	protein_coding
ENSMUSG00000041779	Tram2	protein_coding
ENSMUSG00000025933	Tmem14a	protein_coding
ENSMUSG00000025934	Gsta3	protein_coding
ENSMUSG00000067750	Khdc1a	protein_coding
ENSMUSG00000041722	Khdc1c	protein_coding
ENSMUSG00000085079	Khdc1b	protein_coding
ENSMUSG00000028033	Kcnq5	protein_coding
ENSMUSG00000041670	Rims1	protein_coding
ENSMUSG00000073730	4933415F23Rik	protein_coding
ENSMUSG00000026158	Ogfrl1	protein_coding
ENSMUSG00000026156	B3gat2	protein_coding
ENSMUSG00000026155	Smap1	protein_coding
ENSMUSG00000026154	Sdhaf4	protein_coding
ENSMUSG00000026153	Fam135a	protein_coding
ENSMUSG00000026147	Col9a1	protein_coding
ENSMUSG00000026141	Col19a1	protein_coding
ENSMUSG00000073725	Lmbrd1	protein_coding
ENSMUSG00000033569	Adgrb3	protein_coding
ENSMUSG00000073722	4931408C20Rik	protein_coding
ENSMUSG00000048411	Gm597	protein_coding
ENSMUSG00000048874	Phf3	protein_coding
ENSMUSG00000026064	Ptp4a1	protein_coding
ENSMUSG00000086727	4931428L18Rik	protein_coding
ENSMUSG00000050217	Lgsn	protein_coding
ENSMUSG00000026063	Pih1d3	protein_coding
ENSMUSG00000026058	Khdrbs2	protein_coding
ENSMUSG00000091318	Gm5415	protein_coding
ENSMUSG00000026134	Prim2	protein_coding
ENSMUSG00000004768	Rab23	protein_coding
ENSMUSG00000042215	Bag2	protein_coding
ENSMUSG00000042197	Zfp451	protein_coding
ENSMUSG00000042182	Bend6	protein_coding
ENSMUSG00000026131	Dst	protein_coding
ENSMUSG00000042111	Ccdc115	protein_coding
ENSMUSG00000026127	Imp4	protein_coding
ENSMUSG00000026126	Ptpn18	protein_coding
ENSMUSG00000026125	Prss39	protein_coding
ENSMUSG00000026124	Cfc1	protein_coding
ENSMUSG00000037529	Prss40	protein_coding
ENSMUSG00000045174	Amer3	protein_coding
ENSMUSG00000037509	Arhgef4	protein_coding
ENSMUSG00000037503	Fam168b	protein_coding
ENSMUSG00000026123	Plekhb2	protein_coding
ENSMUSG00000045216	Hs6st1	protein_coding
ENSMUSG00000037470	Uggt1	protein_coding
ENSMUSG00000047180	Neurl3	protein_coding
ENSMUSG00000037447	Arid5a	protein_coding
ENSMUSG00000010453	Kansl3	protein_coding
ENSMUSG00000037432	Fer1l5	protein_coding
ENSMUSG00000001143	Lman2l	protein_coding
ENSMUSG00000037408	Cnnm4	protein_coding
ENSMUSG00000001138	Cnnm3	protein_coding
ENSMUSG00000067653	Ankrd23	protein_coding
ENSMUSG00000079610	Ankrd39	protein_coding
ENSMUSG00000026121	Sema4c	protein_coding
ENSMUSG00000046337	Fam178b	protein_coding
ENSMUSG00000061518	Cox5b	protein_coding
ENSMUSG00000037351	Actr1b	protein_coding
ENSMUSG00000102416	4933424G06Rik	protein_coding
ENSMUSG00000026117	Zap70	protein_coding
ENSMUSG00000026116	Tmem131	protein_coding
ENSMUSG00000050122	Vwa3b	protein_coding
ENSMUSG00000026114	Cnga3	protein_coding
ENSMUSG00000026113	Inpp4a	protein_coding
ENSMUSG00000026112	Coa5	protein_coding
ENSMUSG00000026111	Unc50	protein_coding
ENSMUSG00000026110	Mgat4a	protein_coding
ENSMUSG00000026090	2010300C02Rik	protein_coding
ENSMUSG00000060771	Tsga10	protein_coding
ENSMUSG00000037216	Lipt1	protein_coding
ENSMUSG00000026088	Mitd1	protein_coding
ENSMUSG00000026087	Mrpl30	protein_coding
ENSMUSG00000061584	Lyg2	protein_coding
ENSMUSG00000026085	Lyg1	protein_coding
ENSMUSG00000058407	Txndc9	protein_coding
ENSMUSG00000026083	Eif5b	protein_coding
