gene_ID	gene_length	longest_CDS_transcript_length
ENSMUSG00000064370	1143.0	1144
ENSMUSG00000064368	518.0	519
ENSMUSG00000064367	1823.0	1824
ENSMUSG00000064363	1377.0	1378
ENSMUSG00000065947	296.0	297
ENSMUSG00000064360	347.0	348
ENSMUSG00000064358	783.0	784
ENSMUSG00000064357	680.0	681
ENSMUSG00000064356	203.0	204
ENSMUSG00000064354	683.0	684
ENSMUSG00000064351	1544.0	1545
ENSMUSG00000064345	1037.0	1038
ENSMUSG00000064341	956.0	957
ENSMUSG00000024644	18163.0	2088
ENSMUSG00000054237	35657.0	1402
ENSMUSG00000051439	1662.0	1572
ENSMUSG00000079286	15168.0	69
ENSMUSG00000054648	4392.0	1590
ENSMUSG00000048832	25604.0	2415
ENSMUSG00000024594	37986.0	4801
ENSMUSG00000042401	148746.0	2616
ENSMUSG00000035521	6793.0	2249
ENSMUSG00000024645	4230.0	1315
ENSMUSG00000107108	2924.0	2925
ENSMUSG00000045052	1571.0	1572
ENSMUSG00000074925	33729.0	2064
ENSMUSG00000096915	1496.0	1497
ENSMUSG00000078197	1489.0	102
ENSMUSG00000070717	2295.0	2296
ENSMUSG00000054745	308.0	309
ENSMUSG00000064052	16261.0	2008
ENSMUSG00000116275	41509.0	4395
ENSMUSG00000044424	578.0	579
ENSMUSG00000035783	14246.0	1781
ENSMUSG00000024875	4341.0	1493
ENSMUSG00000095850	497.0	498
ENSMUSG00000091312	658.0	63
ENSMUSG00000078349	1847.0	1848
ENSMUSG00000068604	955.0	879
ENSMUSG00000091297	20928.0	420
ENSMUSG00000001473	12031.0	1757
ENSMUSG00000024902	4689.0	2882
ENSMUSG00000095366	308.0	309
ENSMUSG00000095450	371.0	372
ENSMUSG00000056468	3353.0	3354
ENSMUSG00000024553	14281.0	2871
ENSMUSG00000025203	13188.0	5453
ENSMUSG00000024999	31109.0	3977
ENSMUSG00000024887	76815.0	4682
ENSMUSG00000042041	1793.0	1165
ENSMUSG00000047656	2913.0	1142
ENSMUSG00000044857	14837.0	2595
ENSMUSG00000024740	24188.0	4155
ENSMUSG00000079794	1124.0	255
ENSMUSG00000079264	26769.0	84
ENSMUSG00000025171	52878.0	1527
ENSMUSG00000093883	542.0	543
ENSMUSG00000049670	11431.0	1816
ENSMUSG00000024987	3720.0	1773
ENSMUSG00000024552	62154.0	2793
ENSMUSG00000025036	23533.0	3210
ENSMUSG00000048720	83344.0	4209
ENSMUSG00000095041	7500.0	4060
ENSMUSG00000025212	8807.0	2966
ENSMUSG00000091007	939.0	940
ENSMUSG00000025066	3832.0	1583
ENSMUSG00000025200	27232.0	3574
ENSMUSG00000078655	488.0	81
ENSMUSG00000062376	13476.0	2176
ENSMUSG00000093857	1496.0	1497
ENSMUSG00000094864	467.0	468
ENSMUSG00000093806	5410.0	1191
ENSMUSG00000015575	23248.0	2812
ENSMUSG00000091028	1408.0	651
ENSMUSG00000095570	2733.0	1443
ENSMUSG00000034041	3258.0	1800
ENSMUSG00000055072	727.0	728
ENSMUSG00000045506	491.0	492
ENSMUSG00000056629	2720.0	642
ENSMUSG00000023020	2518.0	723
ENSMUSG00000094939	1082.0	1083
ENSMUSG00000024842	4184.0	1431
ENSMUSG00000058927	948.0	949
ENSMUSG00000095666	3079.0	1446
ENSMUSG00000078324	1700.0	1701
ENSMUSG00000024976	88962.0	4106
ENSMUSG00000079190	29032.0	1473
ENSMUSG00000093916	887.0	888
ENSMUSG00000071280	335.0	336
ENSMUSG00000069833	87635.0	18099
ENSMUSG00000064105	117199.0	3558
